run_id,ts,timeframe,strategy,params,split,symbols,notes,trades,win_rate,avg_r,median_r,profit_factor,total_return_pct,max_dd_pct,sharpe,avg_dur_h,long_trades,short_trades,long_avg_r,short_avg_r,exit_sl,exit_tp,exit_trail,exit_flip
20260831_195827_st_trail,2026-08-31T11:58:27.220046+00:00,4h,st_trail,"{""ema"": null, ""st_mult"": 4.0, ""st_period"": 20, ""trail_mult"": 2.5}",train,164,,1658,34.08,-0.0704,-0.2145,0.721,-69.77,74.4,-3.43,116.8,811.0,847.0,-0.0904,-0.0512,18.0,0.0,1566.0,73.0
20260831_195830_st_trail,2026-08-31T11:58:30.964434+00:00,4h,st_trail,"{""ema"": 200, ""st_mult"": 4.0, ""st_period"": 20, ""trail_mult"": 2.5}",train,160,,663,36.35,-0.0399,-0.2103,0.841,-24.19,37.11,-1.49,113.7,424.0,239.0,-0.0559,-0.0116,7.0,0.0,617.0,39.0
20260831_195834_st_trail,2026-08-31T11:58:34.835545+00:00,4h,st_trail,"{""ema"": null, ""st_mult"": 4.0, ""st_period"": 20, ""trail_mult"": 3.5}",train,164,,1323,35.6,-0.0435,-0.2385,0.862,-46.42,73.76,-0.86,210.9,536.0,787.0,-0.0769,-0.0208,48.0,0.0,1002.0,271.0
20260831_195838_st_trail,2026-08-31T11:58:38.506019+00:00,4h,st_trail,"{""ema"": 200, ""st_mult"": 4.0, ""st_period"": 20, ""trail_mult"": 3.5}",train,160,,597,37.19,0.0144,-0.2168,1.047,6.45,44.19,0.5,193.5,362.0,235.0,-0.0332,0.0877,18.0,0.0,448.0,131.0
20260831_195842_st_asym,2026-08-31T11:58:42.959882+00:00,4h,st_asym,"{""atr_max"": 5.0, ""atr_min"": 0.5, ""atr_period"": 14, ""ema"": 200, ""rsi"": 14, ""rsi_long"": 55, ""rsi_short"": 45, ""sl_mult"": 1.5, ""st_mult"": 3.5, ""st_period"": 12, ""tp_mult"": 3.0}",train,156,,1168,30.65,-0.1264,-1.0352,0.826,-79.58,87.31,-0.84,51.8,414.0,754.0,-0.1209,-0.1295,810.0,358.0,0.0,0.0
20260831_195847_st_asym,2026-08-31T11:58:47.430483+00:00,4h,st_asym,"{""atr_max"": 5.0, ""atr_min"": 0.5, ""atr_period"": 14, ""ema"": 200, ""rsi"": 14, ""rsi_long"": 55, ""rsi_short"": 45, ""sl_mult"": 1.5, ""st_mult"": 3.5, ""st_period"": 12, ""tp_mult"": 4.5}",train,156,,1107,22.31,-0.1533,-1.0373,0.811,-84.27,88.95,-1.08,82.4,397.0,710.0,-0.1314,-0.1655,860.0,247.0,0.0,0.0
20260831_195851_st_asym,2026-08-31T11:58:51.853340+00:00,4h,st_asym,"{""atr_max"": 5.0, ""atr_min"": 0.5, ""atr_period"": 14, ""ema"": 200, ""rsi"": 14, ""rsi_long"": 55, ""rsi_short"": 45, ""sl_mult"": 1.5, ""st_mult"": 3.5, ""st_period"": 20, ""tp_mult"": 3.0}",train,157,,1167,30.93,-0.1183,-1.035,0.836,-77.53,85.99,-0.86,47.1,478.0,689.0,-0.0884,-0.1391,806.0,361.0,0.0,0.0
20260831_195856_st_asym,2026-08-31T11:58:56.263457+00:00,4h,st_asym,"{""atr_max"": 5.0, ""atr_min"": 0.5, ""atr_period"": 14, ""ema"": 200, ""rsi"": 14, ""rsi_long"": 55, ""rsi_short"": 45, ""sl_mult"": 1.5, ""st_mult"": 3.5, ""st_period"": 20, ""tp_mult"": 4.5}",train,157,,1117,22.92,-0.1295,-1.0379,0.839,-79.89,84.9,-0.89,73.0,464.0,653.0,-0.0832,-0.1625,861.0,256.0,0.0,0.0
20260831_195858_donchian,2026-08-31T11:58:58.330237+00:00,4h,donchian,"{""ema"": null, ""entry_n"": 24, ""trail_mult"": 3.0}",train,160,,2311,32.93,-0.0838,-0.3442,0.779,-87.03,93.96,-2.51,152.0,1117.0,1194.0,-0.0539,-0.1118,208.0,0.0,2103.0,0.0
20260831_195900_donchian,2026-08-31T11:59:00.378178+00:00,4h,donchian,"{""ema"": 200, ""entry_n"": 24, ""trail_mult"": 3.0}",train,160,,2120,31.84,-0.1061,-0.3808,0.731,-90.45,93.46,-3.06,146.6,947.0,1173.0,-0.0646,-0.1395,205.0,0.0,1915.0,0.0
